NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 5 , 6 , 7 , 10 , 14 , 13 , 14 , 13 , 15 , 15 , 15 , 19 , 24 , 26 , 33 , 38 , 50 , 67 , 69 , 73 
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 4 , 5 , 7 , 10 , 9 , 10 , 9 , 11 , 11 , 11 , 13 , 17 , 18 , 23 , 26 , 37 , 55 , 60 , 65 
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 4 , 5 , 7 , 8 , 10 , 12 , 13 , 12 , 10 , 8 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 15 , 16 , 17 , 18 , 21 , 23 , 25 , 28 , 32 , 35 , 39 , 44 , 48 , 53 , 66 , 77 , 87 , 96 , 105 , 114 , 122 , 158 , 168 , 245 , 262 , 215 , 268 , 300 , 339 , 366 , 375 , 396 , 429 , 631 , 652 , 672 , 758 
     Other Third Party Payers and Programs, 46 , 50 , 53 , 57 , 62 , 74 , 79 , 93 , 137 , 153 , 116 , 92 , 101 , 128 , 180 , 214 , 279 , 352 , 503 , 574 , 739 , 801 , 844 , 970 ," 1,130 "," 1,201 "," 1,340 "," 1,297 "," 1,603 "," 1,814 "," 2,000 "," 2,156 "," 2,370 "," 2,590 "," 2,809 "," 3,081 "," 3,255 "," 3,233 "," 3,170 "," 3,368 "," 2,915 "," 2,888 "," 2,757 "," 2,747 "," 2,816 "," 2,855 "," 2,477 "," 2,487 "," 2,392 "," 2,254 "," 2,250 "," 2,362 "," 2,546 "," 2,626 "," 2,484 "," 2,505 "," 2,544 "," 2,673 "," 2,840 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 38 , 41 , 44 , 48 , 52 , 62 , 64 , 70 , 104 , 115 , 85 , 65 , 70 , 89 , 119 , 127 , 154 , 193 , 278 , 315 , 370 , 409 , 441 , 492 , 555 , 586 , 664 , 634 , 837 , 914 , 959 , 998 ," 1,083 "," 1,200 "," 1,254 "," 1,431 "," 1,517 "," 1,480 "," 1,558 "," 1,738 "," 1,379 "," 1,177 "," 1,061 "," 1,161 "," 1,186 "," 1,293 "," 1,101 "," 1,070 "," 1,035 ", 987 ," 1,003 "," 1,042 "," 1,139 "," 1,296 "," 1,289 "," 1,313 "," 1,384 "," 1,513 "," 1,633 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 3 , 3 , 3 , 3 , 3 , 4 , 3 , 4 , 5 , 7 , 8 , 8 , 9 , 19 , 16 , 16 , 20 , 35 , 42 , 45 , 63 , 72 , 80 , 74 , 68 , 55 , 24 , 32 , 32 , 53 , 67 , 91 , 117 , 156 , 142 , 183 , 197 , 203 , 240 , 256 , 209 , 297 , 338 , 330 , 327 
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 25 , 61 , 59 , 8 , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 8 , 8 , 9 , 9 , 10 , 12 , 15 , 22 , 32 , 37 , 30 , 26 , 30 , 38 , 58 , 85 , 122 , 157 , 222 , 255 , 365 , 388 , 397 , 471 , 567 , 607 , 666 , 644 , 749 , 884 ," 1,021 "," 1,124 "," 1,245 "," 1,345 "," 1,493 "," 1,579 "," 1,657 "," 1,679 "," 1,543 "," 1,575 "," 1,512 "," 1,679 "," 1,664 "," 1,534 "," 1,563 "," 1,470 "," 1,259 "," 1,261 "," 1,215 "," 1,084 "," 1,050 "," 1,092 "," 1,106 "," 1,016 ", 979 , 895 , 822 , 830 , 879 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 11 , 52 , 72 , 84 , 73 , 71 , 82 , 101 , 166 , 275 , 407 , 513 , 625 , 778 , 915 ," 1,241 "," 1,561 "," 1,931 "," 2,328 "," 2,483 "," 2,589 "," 2,771 "," 3,083 "," 3,941 "," 5,407 "," 7,136 "," 9,385 "," 11,761 "," 14,926 "," 17,278 "," 18,701 "," 19,019 "," 14,981 "," 14,109 "," 15,308 "," 18,189 "," 21,050 "," 24,653 "," 29,020 "," 33,129 "," 37,977 "," 43,869 "," 48,714 "," 54,275 "," 57,676 "," 59,252 "," 61,243 "," 62,307 "," 64,597 "," 68,093 "," 70,805 "," 73,213 "," 76,228 "
Other Non-Durable Medical Products Expenditures," 1,626 "," 1,764 "," 1,901 "," 1,944 "," 2,083 "," 2,211 "," 2,377 "," 2,527 "," 2,677 "," 2,967 "," 3,325 "," 3,470 "," 3,672 "," 3,983 "," 4,491 "," 4,949 "," 5,433 "," 6,083 "," 7,137 "," 8,450 "," 9,801 "," 11,296 "," 12,581 "," 13,755 "," 14,976 "," 15,955 "," 17,063 "," 18,265 "," 19,376 "," 20,819 "," 22,446 "," 23,247 "," 23,213 "," 23,742 "," 24,310 "," 25,100 "," 26,004 "," 27,581 "," 28,574 "," 30,624 "," 31,568 "," 32,250 "," 33,292 "," 36,199 "," 38,088 "," 40,805 "," 43,733 "," 47,752 "," 49,472 "," 50,384 "," 51,306 "," 52,892 "," 53,924 "," 56,005 "," 57,519 "," 60,221 "," 62,666 "," 64,068 "," 66,352 "
     Out of pocket," 1,626 "," 1,764 "," 1,901 "," 1,944 "," 2,083 "," 2,211 "," 2,375 "," 2,522 "," 2,671 "," 2,960 "," 3,316 "," 3,460 "," 3,659 "," 3,968 "," 4,470 "," 4,921 "," 5,399 "," 6,039 "," 7,078 "," 8,376 "," 9,703 "," 11,166 "," 12,413 "," 13,536 "," 14,722 "," 15,668 "," 16,734 "," 17,885 "," 18,958 "," 20,343 "," 21,889 "," 22,505 "," 22,348 "," 22,783 "," 23,290 "," 23,893 "," 24,777 "," 26,248 "," 27,224 "," 29,296 "," 30,134 "," 30,669 "," 31,614 "," 34,338 "," 36,063 "," 38,663 "," 41,436 "," 45,212 "," 46,754 "," 47,588 "," 48,295 "," 49,763 "," 50,649 "," 53,287 "," 55,236 "," 57,948 "," 60,554 "," 62,093 "," 64,250 "
     Health Insurance, -   , -   , -   , -   , -   , -   , 2 , 5 , 6 , 7 , 9 , 10 , 13 , 15 , 21 , 28 , 34 , 44 , 59 , 74 , 98 , 130 , 168 , 219 , 254 , 287 , 329 , 380 , 418 , 476 , 557 , 742 , 865 , 959 ," 1,020 "," 1,207 "," 1,227 "," 1,333 "," 1,350 "," 1,327 "," 1,434 "," 1,581 "," 1,678 "," 1,861 "," 2,025 "," 2,142 "," 2,297 "," 2,540 "," 2,718 "," 2,796 "," 3,011 "," 3,128 "," 3,273 "," 2,716 "," 2,282 "," 2,273 "," 2,111 "," 1,975 "," 2,103 "
          Private Health Insurance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
          Medicare, -   , -   , -   , -   , -   , -   , 2 , 5 , 6 , 7 , 9 , 10 , 13 , 15 , 21 , 28 , 34 , 44 , 59 , 74 , 98 , 130 , 168 , 219 , 254 , 287 , 329 , 380 , 418 , 476 , 557 , 742 , 865 , 959 ," 1,020 "," 1,207 "," 1,227 "," 1,333 "," 1,350 "," 1,327 "," 1,434 "," 1,581 "," 1,678 "," 1,861 "," 2,025 "," 2,142 "," 2,297 "," 2,540 "," 2,718 "," 2,796 "," 3,011 "," 3,128 "," 3,273 "," 2,716 "," 2,282 "," 2,273 "," 2,111 "," 1,975 "," 2,103 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , -   , -   , -   , -   , -   
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Maternal/Child Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 2 , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 2 , 5 , 6 , 7 , 9 , 10 , 13 , 15 , 21 , 28 , 34 , 44 , 59 , 74 , 98 , 130 , 168 , 219 , 254 , 287 , 329 , 380 , 418 , 476 , 557 , 742 , 865 , 959 ," 1,020 "," 1,207 "," 1,227 "," 1,333 "," 1,350 "," 1,327 "," 1,434 "," 1,581 "," 1,678 "," 1,861 "," 2,025 "," 2,142 "," 2,297 "," 2,540 "," 2,718 "," 2,796 "," 3,011 "," 3,128 "," 3,273 "," 2,716 "," 2,282 "," 2,273 "," 2,111 "," 1,975 "," 2,103 "
Total Prescription Drug Expenditures," 2,676 "," 2,718 "," 3,029 "," 3,159 "," 3,347 "," 3,715 "," 3,985 "," 4,227 "," 4,742 "," 5,149 "," 5,497 "," 5,877 "," 6,324 "," 6,817 "," 7,422 "," 8,052 "," 8,722 "," 9,196 "," 9,891 "," 10,744 "," 12,049 "," 13,398 "," 15,029 "," 17,323 "," 19,617 "," 21,795 "," 24,290 "," 26,888 "," 30,646 "," 34,757 "," 40,290 "," 44,381 "," 46,972 "," 49,551 "," 53,019 "," 59,766 "," 68,084 "," 77,636 "," 88,496 "," 104,564 "," 121,028 "," 139,000 "," 157,915 "," 176,659 "," 192,827 "," 205,156 "," 224,109 "," 234,860 "," 239,627 "," 249,478 "," 248,377 "," 251,928 "," 252,959 "," 258,207 "," 292,436 "," 317,075 "," 322,332 "," 326,773 "," 335,037 "
     Out of pocket," 2,570 "," 2,595 "," 2,889 "," 3,005 "," 3,138 "," 3,441 "," 3,594 "," 3,712 "," 4,120 "," 4,362 "," 4,531 "," 4,752 "," 5,035 "," 5,341 "," 5,724 "," 6,093 "," 6,519 "," 6,813 "," 7,200 "," 7,575 "," 8,592 "," 8,983 "," 10,440 "," 11,446 "," 12,731 "," 13,855 "," 15,744 "," 16,692 "," 18,694 "," 20,581 "," 22,867 "," 23,553 "," 23,661 "," 23,835 "," 23,176 "," 23,201 "," 24,241 "," 25,709 "," 27,519 "," 30,481 "," 33,648 "," 36,350 "," 40,807 "," 45,466 "," 48,144 "," 51,323 "," 51,581 "," 52,540 "," 50,011 "," 49,476 "," 45,648 "," 45,682 "," 45,544 "," 44,331 "," 45,582 "," 46,289 "," 47,835 "," 46,800 "," 47,079 "
     Health Insurance, 39 , 42 , 46 , 47 , 85 , 133 , 288 , 445 , 540 , 703 , 907 ," 1,061 "," 1,217 "," 1,396 "," 1,608 "," 1,856 "," 2,087 "," 2,261 "," 2,563 "," 2,991 "," 3,242 "," 4,170 "," 4,312 "," 5,556 "," 6,504 "," 7,443 "," 7,914 "," 9,482 "," 11,110 "," 13,159 "," 16,217 "," 19,595 "," 22,056 "," 24,481 "," 28,539 "," 35,202 "," 42,431 "," 50,408 "," 59,252 "," 72,150 "," 85,091 "," 99,920 "," 113,998 "," 127,614 "," 140,941 "," 149,860 "," 168,489 "," 178,543 "," 185,976 "," 196,469 "," 199,397 "," 203,445 "," 204,896 "," 211,509 "," 244,873 "," 268,872 "," 272,694 "," 278,208 "," 286,208 "
          Private Health Insurance, 35 , 38 , 42 , 43 , 82 , 130 , 182 , 238 , 317 , 399 , 484 , 558 , 643 , 742 , 855 , 967 ," 1,097 "," 1,202 "," 1,433 "," 1,731 "," 1,810 "," 2,534 "," 2,610 "," 3,614 "," 4,244 "," 5,047 "," 4,836 "," 5,957 "," 7,126 "," 8,862 "," 10,860 "," 13,212 "," 14,755 "," 16,230 "," 19,209 "," 24,481 "," 30,114 "," 36,210 "," 42,647 "," 52,073 "," 61,108 "," 71,157 "," 79,753 "," 87,009 "," 95,039 "," 102,013 "," 101,586 "," 105,654 "," 107,451 "," 112,443 "," 110,946 "," 109,814 "," 106,434 "," 106,228 "," 122,598 "," 134,823 "," 133,760 "," 133,210 "," 134,259 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 21 , 44 , 75 , 102 , 139 , 185 , 231 , 293 , 372 , 496 , 722 ," 1,011 "," 1,259 "," 1,561 "," 1,919 "," 2,096 "," 2,448 "," 2,473 "," 2,470 "," 3,372 "," 3,931 "," 39,638 "," 45,954 "," 50,644 "," 54,542 "," 58,943 "," 63,285 "," 67,524 "," 74,044 "," 84,763 "," 92,418 "," 96,598 "," 101,262 "," 107,248 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 103 , 205 , 219 , 300 , 417 , 495 , 563 , 644 , 739 , 871 , 969 ," 1,036 "," 1,107 "," 1,236 "," 1,408 "," 1,611 "," 1,669 "," 1,907 "," 2,219 "," 2,332 "," 2,986 "," 3,396 "," 3,814 "," 4,083 "," 5,077 "," 6,043 "," 6,883 "," 7,721 "," 8,627 "," 9,700 "," 10,824 "," 12,222 "," 14,031 "," 16,647 "," 19,771 "," 23,375 "," 27,520 "," 32,233 "," 35,844 "," 36,530 "," 19,109 "," 18,334 "," 19,226 "," 20,341 "," 20,412 "," 20,953 "," 21,437 "," 22,057 "," 27,330 "," 30,502 "," 32,039 "," 32,891 "," 33,363 "
